,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,match
0,Florian Wirtz,de Germany,0.10,0.37,Goal,20,Right Foot,,Joshua Kimmich,Pass (Live),Toni Kroos,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
1,Jamal Musiala,de Germany,0.18,0.34,Goal,14,Right Foot,,Jamal Musiala,Take-On,Kai Havertz,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
2,Kai Havertz,de Germany,0.14,0.37,Saved,21,Left Foot,"Free kick, Deflected",Toni Kroos,Pass (Live),İlkay Gündoğan,Pass (Dead),Germany-Scotland-June-14-2024-European-Championship
3,İlkay Gündoğan,de Germany,0.10,0.18,Saved,9,Head,,Joshua Kimmich,Pass (Live),İlkay Gündoğan,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
4,Kai Havertz (pen),de Germany,0.79,0.96,Goal,13,Left Foot,,İlkay Gündoğan,Fouled,İlkay Gündoğan,Shot,Germany-Scotland-June-14-2024-European-Championship
5,,,,,,,,,,,,,Germany-Scotland-June-14-2024-European-Championship
6,Antonio Rüdiger,de Germany,0.03,0.23,Saved,35,Right Foot,,Jonathan Tah,Pass (Live),Pascal Groß,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
7,Antonio Rüdiger,de Germany,0.02,,Blocked,14,Head,,Maximilian Mittelstädt,Pass (Live),İlkay Gündoğan,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
8,Pascal Groß,de Germany,0.03,,Blocked,24,Right Foot,,Toni Kroos,Pass (Dead),Florian Wirtz,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
9,Joshua Kimmich,de Germany,0.03,,Blocked,24,Right Foot,,Toni Kroos,Pass (Live),Jamal Musiala,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
10,Florian Wirtz,de Germany,0.10,,Off Target,9,Right Foot,Volley,Maximilian Mittelstädt,Pass (Live),Jamal Musiala,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
11,İlkay Gündoğan,de Germany,0.13,,Blocked,9,Left Foot,,Pascal Groß,Pass (Live),Jonathan Tah,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
12,Maximilian Mittelstädt,de Germany,0.03,,Blocked,20,Left Foot,,Pascal Groß,Pass (Live),Antonio Rüdiger,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
13,Florian Wirtz,de Germany,0.03,,Off Target,32,Right Foot,,Toni Kroos,Pass (Live),Pascal Groß,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
14,Leroy Sané,de Germany,0.13,0.15,Saved,14,Left Foot,,Joshua Kimmich,Pass (Live),,,Germany-Scotland-June-14-2024-European-Championship
15,Maximilian Mittelstädt,de Germany,0.02,,Off Target,24,Left Foot,,Toni Kroos,Pass (Live),Jamal Musiala,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
16,Niclas Füllkrug,de Germany,0.19,0.39,Goal,17,Right Foot,,Jamal Musiala,Pass (Live),Maximilian Mittelstädt,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
17,Maximilian Mittelstädt,de Germany,0.03,,Off Target,19,Left Foot,Volley,Maximilian Mittelstädt,Pass (Live),Pascal Groß,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
18,Leroy Sané,de Germany,0.01,0.02,Saved,23,Left Foot,,Joshua Kimmich,Pass (Live),Leroy Sané,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
19,Leroy Sané,de Germany,0.04,,Off Target,29,Left Foot,,Niclas Füllkrug,Pass (Live),Emre Can,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
20,Scott McKenna,sct Scotland,0.02,,Off Target,12,Head,,Kenny McLean,Fouled,Angus Gunn,Pass (Dead),Germany-Scotland-June-14-2024-European-Championship
21,Emre Can,de Germany,0.04,0.34,Goal,23,Right Foot,Deflected,Thomas Müller,Pass (Live),Leroy Sané,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
22,Attila Szalai,hu Hungary,0.09,,Off Target,13,Left Foot,,Willi Orban,Pass (Live),Dominik Szoboszlai,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
23,Roland Sallai,hu Hungary,0.05,,Off Target,24,Right Foot,,Attila Fiola,Pass (Live),Ádám Nagy,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
24,Kwadwo Duah,ch Switzerland,0.51,0.89,Goal,11,Right Foot,,Michel Aebischer,Pass (Live),Manuel Akanji,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
25,Ruben Vargas,ch Switzerland,0.54,0.45,Saved,14,Right Foot,,,,,,Hungary-Switzerland-June-15-2024-European-Championship
26,Fabian Schär,ch Switzerland,0.01,,Blocked,27,Right Foot,,Granit Xhaka,Pass (Live),Manuel Akanji,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
27,Fabian Schär,ch Switzerland,0.03,,Blocked,18,Left Foot,,,,,,Hungary-Switzerland-June-15-2024-European-Championship
28,Willi Orban,hu Hungary,0.21,0.23,Saved,9,Head,,Dominik Szoboszlai,Pass (Dead),Attila Szalai,Fouled,Hungary-Switzerland-June-15-2024-European-Championship
29,Michel Aebischer,ch Switzerland,0.06,0.41,Goal,26,Right Foot,,Remo Freuler,Pass (Live),Ruben Vargas,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
30,,,,,,,,,,,,,Hungary-Switzerland-June-15-2024-European-Championship
31,Kwadwo Duah,ch Switzerland,0.08,,Blocked,11,Right Foot,,Dan Ndoye,Pass (Live),Dan Ndoye,Take-On,Hungary-Switzerland-June-15-2024-European-Championship
32,Kwadwo Duah,ch Switzerland,0.10,0.20,Saved,15,Left Foot,,Granit Xhaka,Pass (Live),Ricardo Rodríguez,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
33,Ruben Vargas,ch Switzerland,0.05,0.03,Saved,13,Left Foot,,Granit Xhaka,Pass (Live),Michel Aebischer,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
34,Dan Ndoye,ch Switzerland,0.02,,Off Target,25,Right Foot,,,,,,Hungary-Switzerland-June-15-2024-European-Championship
35,Barnabás Varga,hu Hungary,0.20,,Off Target,9,Head,,Roland Sallai,Pass (Live),Dominik Szoboszlai,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
36,Barnabás Varga,hu Hungary,0.66,0.75,Goal,5,Head,,Dominik Szoboszlai,Pass (Live),Roland Sallai,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
37,Roland Sallai,hu Hungary,0.05,,Blocked,16,Right Foot,,Willi Orban,Pass (Live),Dominik Szoboszlai,Pass (Dead),Hungary-Switzerland-June-15-2024-European-Championship
38,Dan Ndoye,ch Switzerland,0.04,,Blocked,16,Right Foot,,Granit Xhaka,Pass (Live),,,Hungary-Switzerland-June-15-2024-European-Championship
39,Fabian Schär,ch Switzerland,0.14,,Off Target,8,Head,,Ruben Vargas,Pass (Dead),Dan Ndoye,Shot,Hungary-Switzerland-June-15-2024-European-Championship
40,Dan Ndoye,ch Switzerland,0.05,,Off Target,14,Right Foot,,Ricardo Rodríguez,Pass (Live),Manuel Akanji,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
41,Vincent Sierro,ch Switzerland,0.01,,Blocked,31,Right Foot,,Michel Aebischer,Pass (Live),Ricardo Rodríguez,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
42,Granit Xhaka,ch Switzerland,0.06,0.03,Saved,5,Head,Deflected,Fabian Rieder,Pass (Dead),Vincent Sierro,Shot,Hungary-Switzerland-June-15-2024-European-Championship
43,Breel Embolo,ch Switzerland,0.61,0.41,Goal,14,Right Foot,,,,,,Hungary-Switzerland-June-15-2024-European-Championship
44,Álvaro Morata,es Spain,0.05,0.19,Saved,25,Left Foot,,Lamine Yamal,Pass (Live),Rodri,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
45,Lamine Yamal,es Spain,0.08,,Off Target,14,Left Foot,,Pedri,Pass (Live),Marc Cucurella,Interception,Spain-Croatia-June-15-2024-European-Championship
46,Ante Budimir,hr Croatia,0.03,,Off Target,15,Head,,Josip Stanišić,Pass (Live),Marcelo Brozović,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
47,Álvaro Morata,es Spain,0.40,0.87,Goal,18,Left Foot,,Fabián Ruiz Peña,Pass (Live),Rodri,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
48,Mateo Kovačić,hr Croatia,0.13,0.16,Saved,17,Left Foot,,Lovro Majer,Pass (Live),Josip Stanišić,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
49,Fabián Ruiz Peña,es Spain,0.14,0.14,Goal,16,Left Foot,Deflected,Fabián Ruiz Peña,Take-On,Fabián Ruiz Peña,Take-On,Spain-Croatia-June-15-2024-European-Championship
50,Marcelo Brozović,hr Croatia,0.10,0.16,Saved,21,Right Foot,,,,,,Spain-Croatia-June-15-2024-European-Championship
51,Lovro Majer,hr Croatia,0.12,,Off Target,7,Right Foot,,Marcelo Brozović,Shot,,,Spain-Croatia-June-15-2024-European-Championship
52,Robin Le Normand,es Spain,0.15,,Off Target,7,Head,,Nico Williams,Pass (Dead),,,Spain-Croatia-June-15-2024-European-Championship
53,Joško Gvardiol,hr Croatia,0.06,,Off Target,9,Left Foot,Volley,Lovro Majer,Pass (Live),Andrej Kramarić,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
54,Andrej Kramarić,hr Croatia,0.01,,Off Target,35,Right Foot,,Mateo Kovačić,Pass (Live),Lovro Majer,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
55,Mateo Kovačić,hr Croatia,0.02,,Off Target,29,Right Foot,,Andrej Kramarić,Pass (Live),Luka Modrić,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
56,Dani Carvajal,es Spain,0.50,0.65,Goal,6,Right Foot,,Lamine Yamal,Pass (Live),Fabián Ruiz Peña,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
57,,,,,,,,,,,,,Spain-Croatia-June-15-2024-European-Championship
58,Joško Gvardiol,hr Croatia,0.03,,Blocked,22,Left Foot,,Andrej Kramarić,Pass (Live),Andrej Kramarić,Take-On,Spain-Croatia-June-15-2024-European-Championship
59,Lamine Yamal,es Spain,0.32,0.84,Saved,11,Left Foot,,Pedri,Pass (Live),Pedri,Take-On,Spain-Croatia-June-15-2024-European-Championship
60,Álvaro Morata,es Spain,0.24,,Off Target,3,Right Foot,Volley,Lamine Yamal,Pass (Live),Lamine Yamal,Take-On,Spain-Croatia-June-15-2024-European-Championship
61,Josip Stanišić,hr Croatia,0.19,,Blocked,9,Right Foot,,Mateo Kovačić,Pass (Live),Mateo Kovačić,Take-On,Spain-Croatia-June-15-2024-European-Championship
62,Ante Budimir,hr Croatia,0.27,,Off Target,3,Head,,Josip Stanišić,Shot,,,Spain-Croatia-June-15-2024-European-Championship
63,Mateo Kovačić,hr Croatia,0.20,,Off Target,5,Head,,Andrej Kramarić,Shot,,,Spain-Croatia-June-15-2024-European-Championship
64,Andrej Kramarić,hr Croatia,0.45,0.90,Saved,3,Head,,Ante Budimir,Shot,,,Spain-Croatia-June-15-2024-European-Championship
65,Lamine Yamal,es Spain,0.07,,Blocked,29,Left Foot,Free kick,Fabián Ruiz Peña,Fouled,Nico Williams,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
66,Dani Olmo,es Spain,0.02,,Blocked,30,Right Foot,,Nacho,Pass (Live),Rodri,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
67,Bruno Petković (pen),hr Croatia,0.79,0.99,Saved,13,Right Foot,,Bruno Petković,Fouled,Lovro Majer,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
68,Ivan Perišić,hr Croatia,0.05,,Blocked,21,Right Foot,,Bruno Petković,Pass (Live),Mario Pašalić,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
69,Ivan Perišić,hr Croatia,0.02,0.19,Saved,32,Left Foot,,Luka Sučić,Pass (Live),Ivan Perišić,Shot,Spain-Croatia-June-15-2024-European-Championship
70,Ferrán Torres,es Spain,0.05,,Blocked,14,Right Foot,,Mikel Oyarzabal,Pass (Live),Fabián Ruiz Peña,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
71,Ivan Perišić,hr Croatia,0.01,,Off Target,13,Head,,Marcelo Brozović,Pass (Live),Luka Sučić,Pass (Live),Spain-Croatia-June-15-2024-European-Championship
72,Nedim Bajrami,al Albania,0.07,0.59,Goal,12,Right Foot,Deflected,,,,,Italy-Albania-June-15-2024-European-Championship
73,Lorenzo Pellegrini,it Italy,0.17,,Off Target,17,Right Foot,,Gianluca Scamacca,Pass (Live),Federico Chiesa,Pass (Live),Italy-Albania-June-15-2024-European-Championship
74,Federico Chiesa,it Italy,0.02,,Blocked,16,Left Foot,,Nicolò Barella,Pass (Live),Riccardo Calafiori,Pass (Live),Italy-Albania-June-15-2024-European-Championship
75,Jasir Asani,al Albania,0.02,,Blocked,17,Left Foot,,Armando Broja,Pass (Live),Ylber Ramadani,Pass (Live),Italy-Albania-June-15-2024-European-Championship
76,Berat Djimsiti,al Albania,0.08,,Off Target,17,Left Foot,Volley,Kristjan Asllani,Pass (Live),Kristjan Asllani,Take-On,Italy-Albania-June-15-2024-European-Championship
77,Federico Dimarco,it Italy,0.02,,Blocked,19,Left Foot,,Jorginho,Pass (Live),Nicolò Barella,Pass (Live),Italy-Albania-June-15-2024-European-Championship
78,Alessandro Bastoni,it Italy,0.19,0.37,Goal,5,Head,,Lorenzo Pellegrini,Pass (Live),Federico Dimarco,Pass (Live),Italy-Albania-June-15-2024-European-Championship
79,Gianluca Scamacca,it Italy,0.03,,Blocked,17,Right Foot,,Giovanni Di Lorenzo,Pass (Live),Jorginho,Pass (Live),Italy-Albania-June-15-2024-European-Championship
80,Nicolò Barella,it Italy,0.09,0.34,Goal,22,Right Foot,,Gianluca Scamacca,Shot,,,Italy-Albania-June-15-2024-European-Championship
81,Riccardo Calafiori,it Italy,0.19,,Blocked,5,Head,,Federico Dimarco,Pass (Dead),Federico Chiesa,Take-On,Italy-Albania-June-15-2024-European-Championship
82,Federico Chiesa,it Italy,0.01,,Blocked,27,Right Foot,,Riccardo Calafiori,Shot,,,Italy-Albania-June-15-2024-European-Championship
83,Lorenzo Pellegrini,it Italy,0.06,,Off Target,9,Right Foot,Volley,Federico Chiesa,Pass (Live),Federico Chiesa,Take-On,Italy-Albania-June-15-2024-European-Championship
84,Davide Frattesi,it Italy,0.22,0.26,Saved,9,Right Foot,,Jorginho,Pass (Live),Jorginho,Interception,Italy-Albania-June-15-2024-European-Championship
85,Gianluca Scamacca,it Italy,0.16,0.52,Saved,8,Right Foot,,Lorenzo Pellegrini,Pass (Live),Giovanni Di Lorenzo,Pass (Live),Italy-Albania-June-15-2024-European-Championship
86,Riccardo Calafiori,it Italy,0.06,,Blocked,10,Head,,Lorenzo Pellegrini,Pass (Dead),Gianluca Scamacca,Shot,Italy-Albania-June-15-2024-European-Championship
87,Jasir Asani,al Albania,0.01,,Off Target,29,Left Foot,,Berat Djimsiti,Pass (Live),Kristjan Asllani,Pass (Dead),Italy-Albania-June-15-2024-European-Championship
88,Lorenzo Pellegrini,it Italy,0.20,,Off Target,10,Other,,Federico Chiesa,Pass (Live),Davide Frattesi,Pass (Live),Italy-Albania-June-15-2024-European-Championship
89,,,,,,,,,,,,,Italy-Albania-June-15-2024-European-Championship
90,Gianluca Scamacca,it Italy,0.03,,Off Target,25,Right Foot,,Riccardo Calafiori,Pass (Live),Davide Frattesi,Pass (Live),Italy-Albania-June-15-2024-European-Championship
91,Kristjan Asllani,al Albania,0.04,,Blocked,29,Right Foot,Free kick,Armando Broja,Fouled,Nedim Bajrami,Pass (Live),Italy-Albania-June-15-2024-European-Championship
92,Federico Chiesa,it Italy,0.03,,Off Target,20,Left Foot,,Gianluca Scamacca,Pass (Live),Gianluca Scamacca,Tackle,Italy-Albania-June-15-2024-European-Championship
93,Giovanni Di Lorenzo,it Italy,0.05,,Blocked,6,Head,,Federico Dimarco,Pass (Live),Lorenzo Pellegrini,Pass (Live),Italy-Albania-June-15-2024-European-Championship
94,Kristjan Asllani,al Albania,0.03,,Off Target,23,Left Foot,Volley,Jasir Asani,Fouled,Armando Broja,Pass (Live),Italy-Albania-June-15-2024-European-Championship
95,Federico Dimarco,it Italy,0.02,0.10,Saved,27,Left Foot,,Riccardo Calafiori,Pass (Live),Alessandro Bastoni,Pass (Live),Italy-Albania-June-15-2024-European-Championship
96,Rey Manaj,al Albania,0.22,,Off Target,9,Right Foot,,Kristjan Asllani,Pass (Live),Arlind Ajeti,Pass (Live),Italy-Albania-June-15-2024-European-Championship
97,Mario Mitaj,al Albania,0.04,,Off Target,22,Left Foot,,Arbër Hoxha,Pass (Live),Qazim Laçi,Pass (Live),Italy-Albania-June-15-2024-European-Championship
98,Cody Gakpo,nl Netherlands,0.02,0.23,Saved,15,Right Foot,Deflected,Joey Veerman,Pass (Live),Denzel Dumfries,Pass (Dead),Poland-Netherlands-June-16-2024-European-Championship
99,Cody Gakpo,nl Netherlands,0.05,,Off Target,9,Head,,Denzel Dumfries,Pass (Live),Virgil van Dijk,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
100,Bartosz Salamon,pl Poland,0.01,,Off Target,63,Right Foot,,,,,,Poland-Netherlands-June-16-2024-European-Championship
101,Tijjani Reijnders,nl Netherlands,0.08,,Off Target,16,Right Foot,,Jerdy Schouten,Pass (Live),Joey Veerman,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
102,Adam Buksa,pl Poland,0.02,,Blocked,15,Right Foot,,Przemysław Frankowski,Pass (Live),Sebastian Szymański,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
103,Xavi Simons,nl Netherlands,0.03,,Off Target,25,Right Foot,,Joey Veerman,Pass (Live),Memphis,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
104,Adam Buksa,pl Poland,0.12,0.04,Goal,6,Head,,Piotr Zieliński,Pass (Dead),Sebastian Szymański,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
105,Virgil van Dijk,nl Netherlands,0.04,0.05,Saved,16,Right Foot,Volley,Joey Veerman,Pass (Dead),Joey Veerman,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
106,Memphis,nl Netherlands,0.12,,Off Target,17,Right Foot,,Tijjani Reijnders,Pass (Live),Virgil van Dijk,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
107,Memphis,nl Netherlands,0.15,,Off Target,13,Right Foot,,Xavi Simons,Pass (Live),Denzel Dumfries,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
108,Denzel Dumfries,nl Netherlands,0.16,,Off Target,10,Head,,Cody Gakpo,Pass (Live),Memphis,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
109,Tijjani Reijnders,nl Netherlands,0.05,,Blocked,4,Head,,Denzel Dumfries,Shot,,,Poland-Netherlands-June-16-2024-European-Championship
110,Cody Gakpo,nl Netherlands,0.02,,Off Target,23,Right Foot,,Xavi Simons,Pass (Live),Virgil van Dijk,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
111,Cody Gakpo,nl Netherlands,0.05,0.02,Goal,25,Right Foot,Deflected,Nathan Aké,Pass (Live),,,Poland-Netherlands-June-16-2024-European-Championship
112,Jakub Kiwior,pl Poland,0.03,0.05,Saved,15,Left Foot,Volley,Piotr Zieliński,Pass (Live),Kacper Urbanski,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
113,Cody Gakpo,nl Netherlands,0.23,,Off Target,8,Right Foot,,Nathan Aké,Pass (Live),Xavi Simons,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
114,Tijjani Reijnders,nl Netherlands,0.02,,Off Target,28,Right Foot,,Nathan Aké,Pass (Live),Memphis,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
115,Memphis,nl Netherlands,0.07,,Off Target,14,Right Foot,,Nathan Aké,Pass (Live),Joey Veerman,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
116,,,,,,,,,,,,,Poland-Netherlands-June-16-2024-European-Championship
117,Xavi Simons,nl Netherlands,0.03,,Blocked,26,Right Foot,,Xavi Simons,Pass (Live),Jerdy Schouten,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
118,Tijjani Reijnders,nl Netherlands,0.03,,Blocked,24,Right Foot,,Cody Gakpo,Pass (Live),Xavi Simons,Shot,Poland-Netherlands-June-16-2024-European-Championship
119,Memphis,nl Netherlands,0.02,,Off Target,36,Right Foot,,Joey Veerman,Pass (Live),Memphis,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
120,Xavi Simons,nl Netherlands,0.08,,Off Target,14,Right Foot,,Cody Gakpo,Pass (Live),Tijjani Reijnders,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
121,Jakub Kiwior,pl Poland,0.12,0.28,Saved,13,Left Foot,Deflected,Nicola Zalewski,Pass (Live),Piotr Zieliński,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
122,Piotr Zieliński,pl Poland,0.03,0.03,Saved,27,Left Foot,,Jakub Kiwior,Pass (Live),Adam Buksa,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
123,Jakub Moder,pl Poland,0.13,,Off Target,11,Right Foot,,Karol Świderski,Pass (Live),Piotr Zieliński,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
124,Denzel Dumfries,nl Netherlands,0.02,,Off Target,14,Right Foot,,Donyell Malen,Pass (Live),Donyell Malen,Take-On,Poland-Netherlands-June-16-2024-European-Championship
125,Stefan de Vrij,nl Netherlands,0.08,,Off Target,10,Head,,Memphis,Pass (Dead),Denzel Dumfries,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
126,Jakub Moder,pl Poland,0.47,,Off Target,5,Head,,Karol Świderski,Pass (Dead),,,Poland-Netherlands-June-16-2024-European-Championship
127,Wout Weghorst,nl Netherlands,0.13,0.85,Goal,9,Left Foot,,Tijjani Reijnders,Pass (Live),Stefan de Vrij,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
128,Karol Świderski,pl Poland,0.23,0.66,Saved,8,Left Foot,,Jakub Piotrowski,Pass (Live),Jakub Piotrowski,Take-On,Poland-Netherlands-June-16-2024-European-Championship
129,Jakub Piotrowski,pl Poland,0.14,,Off Target,3,Left Foot,,Karol Świderski,Shot,,,Poland-Netherlands-June-16-2024-European-Championship
130,Jakub Moder,pl Poland,0.02,0.15,Saved,33,Left Foot,,Bartosz Slisz,Tackle,,,Poland-Netherlands-June-16-2024-European-Championship
131,Nicola Zalewski,pl Poland,0.02,0.20,Saved,30,Right Foot,,Adam Buksa,Pass (Live),Wojciech Szczęsny,Pass (Live),Poland-Netherlands-June-16-2024-European-Championship
132,Andreas Christensen,dk Denmark,0.02,,Off Target,15,Head,,Christian Eriksen,Pass (Dead),Jonas Wind,Fouled,Slovenia-Denmark-June-16-2024-European-Championship
133,Victor Bernth Kristiansen,dk Denmark,0.03,,Blocked,20,Right Foot,Volley,Alexander Bah,Pass (Dead),,,Slovenia-Denmark-June-16-2024-European-Championship
134,Benjamin Šeško,si Slovenia,0.03,,Off Target,29,Right Foot,,Timi Elšnik,Pass (Live),,,Slovenia-Denmark-June-16-2024-European-Championship
135,Christian Eriksen,dk Denmark,0.51,0.83,Goal,10,Right Foot,,Jonas Wind,Pass (Live),Alexander Bah,Pass (Dead),Slovenia-Denmark-June-16-2024-European-Championship
136,Erik Janža,si Slovenia,0.02,,Blocked,28,Left Foot,Volley,Adam Gnezda Čerin,Pass (Dead),Žan Karničnik,Pass (Live),Slovenia-Denmark-June-16-2024-European-Championship
137,Erik Janža,si Slovenia,0.02,,Off Target,28,Left Foot,,Adam Gnezda Čerin,Pass (Dead),Erik Janža,Shot,Slovenia-Denmark-June-16-2024-European-Championship
138,Jannik Vestergaard,dk Denmark,0.15,,Off Target,8,Head,,Christian Eriksen,Pass (Dead),,,Slovenia-Denmark-June-16-2024-European-Championship
139,Joachim Andersen,dk Denmark,0.06,,Off Target,10,Head,,Christian Eriksen,Pass (Dead),,,Slovenia-Denmark-June-16-2024-European-Championship
140,Christian Eriksen,dk Denmark,0.04,,Blocked,15,Left Foot,,Alexander Bah,Pass (Live),Alexander Bah,Pass (Live),Slovenia-Denmark-June-16-2024-European-Championship
141,Christian Eriksen,dk Denmark,0.01,,Blocked,31,Right Foot,,Morten Hjulmand,Pass (Live),,,Slovenia-Denmark-June-16-2024-European-Championship
142,Christian Eriksen,dk Denmark,0.20,,Off Target,13,Left Foot,,Jonas Wind,Pass (Live),,,Slovenia-Denmark-June-16-2024-European-Championship
143,,,,,,,,,,,,,Slovenia-Denmark-June-16-2024-European-Championship
144,Andreas Christensen,dk Denmark,0.01,,Blocked,17,Head,,Christian Eriksen,Pass (Dead),Pierre Højbjerg,Fouled,Slovenia-Denmark-June-16-2024-European-Championship
145,Pierre Højbjerg,dk Denmark,0.07,,Blocked,9,Right Foot,Volley,Christian Eriksen,Pass (Dead),Alexander Bah,Fouled,Slovenia-Denmark-June-16-2024-European-Championship
146,Rasmus Højlund,dk Denmark,0.27,0.94,Saved,5,Right Foot,,Victor Bernth Kristiansen,Pass (Live),Pierre Højbjerg,Pass (Live),Slovenia-Denmark-June-16-2024-European-Championship
147,Alexander Bah,dk Denmark,0.08,,Blocked,21,Right Foot,,Pierre Højbjerg,Pass (Live),Rasmus Højlund,Shot,Slovenia-Denmark-June-16-2024-European-Championship
148,Adam Gnezda Čerin,si Slovenia,0.17,,Off Target,9,Head,,Andraž Šporar,Pass (Live),Erik Janža,Pass (Live),Slovenia-Denmark-June-16-2024-European-Championship
149,Christian Eriksen,dk Denmark,0.04,,Off Target,9,Left Foot,Volley,Jonas Wind,Pass (Live),Victor Bernth Kristiansen,Pass (Dead),Slovenia-Denmark-June-16-2024-European-Championship
150,Jonas Wind,dk Denmark,0.16,,Off Target,5,Head,,Christian Eriksen,Pass (Dead),,,Slovenia-Denmark-June-16-2024-European-Championship
151,Andraž Šporar,si Slovenia,0.43,,Off Target,5,Right Foot,Volley,Erik Janža,Pass (Dead),Benjamin Šeško,Fouled,Slovenia-Denmark-June-16-2024-European-Championship
152,Benjamin Šeško,si Slovenia,0.03,,Woodwork,29,Right Foot,,Erik Janža,Pass (Live),Jaka Bijol,Pass (Live),Slovenia-Denmark-June-16-2024-European-Championship
153,Erik Janža,si Slovenia,0.01,0.03,Goal,26,Left Foot,"Deflected, Volley",Benjamin Šeško,Shot,,,Slovenia-Denmark-June-16-2024-European-Championship
154,Andraž Šporar,si Slovenia,0.11,,Blocked,9,Left Foot,Volley,Erik Janža,Pass (Live),Jon Gorenc Stanković,Pass (Live),Slovenia-Denmark-June-16-2024-European-Championship
155,Andraž Šporar,si Slovenia,0.15,,Off Target,10,Left Foot,Volley,Andraž Šporar,Shot,,,Slovenia-Denmark-June-16-2024-European-Championship
156,Jannik Vestergaard,dk Denmark,0.01,0.12,Saved,11,Head,,Christian Eriksen,Pass (Dead),,,Slovenia-Denmark-June-16-2024-European-Championship
157,Andraž Šporar,si Slovenia,0.13,0.35,Saved,11,Right Foot,,Benjamin Verbič,Pass (Live),Benjamin Šeško,Pass (Live),Slovenia-Denmark-June-16-2024-European-Championship
158,Morten Hjulmand,dk Denmark,0.04,0.09,Saved,27,Left Foot,,Yussuf Poulsen,Pass (Live),Christian Nørgaard,Pass (Live),Slovenia-Denmark-June-16-2024-European-Championship
159,Žan Karničnik,si Slovenia,0.01,,Off Target,32,Right Foot,,Benjamin Šeško,Pass (Live),Benjamin Verbič,Pass (Live),Slovenia-Denmark-June-16-2024-European-Championship
